TO,FROM,REASON,SERVER,DATE,CHANNEL,,,,,,,
@natesuits#4789,markop,to for working on the FAQ ,Token Engineering Commons,Mar-02-2021,🙌🏿praise,,,,,,,
@divine_comedian#5493,markop,to for offering to write articles for TEC ,Token Engineering Commons,Mar-02-2021,🙌🏿praise,,,,,,,
@Mount Manu#3530,Vyvy-vi,"Thanks for offering to help with design, video, onboarding people from Latin America, translations for Spanish. ",Token Engineering Commons,Mar-02-2021,📡comms,,,,,,,
@liviade#1387,Zeptimus,to for the gitbook its so cOOOOOOOOOL!🤩 o ,Token Engineering Commons,Mar-02-2021,🙌🏿praise,,,,,,,
@Vyvy-vi#5040,metaverde,for staying on top of the Discord and keeping track of all the things. ,Token Engineering Commons,Mar-02-2021,🙌🏿praise,,,,,,,
@Letty#5399,griff,"for putting in so much time to reviewing the Legal channel, diving in and making great questions! ",Token Engineering Commons,Mar-03-2021,🏛legal,,,,,,,
@liviade#1387,Juankbell,for being amazing and caring stewards for this community. I thank life for the opportunity of meeting paths with each one of you. ,Token Engineering Commons,Mar-03-2021,🙌🏿praise,,,,,,,
@griff#3281,Juankbell,for being amazing and caring stewards for this community. I thank life for the opportunity of meeting paths with each one of you. ,Token Engineering Commons,Mar-03-2021,🙌🏿praise,,,,,,,
@JessicaZartler#2263,Juankbell,for being amazing and caring stewards for this community. I thank life for the opportunity of meeting paths with each one of you. ,Token Engineering Commons,Mar-03-2021,🙌🏿praise,,,,,,,
@Zeptimus#3359,Juankbell,for being amazing and caring stewards for this community. I thank life for the opportunity of meeting paths with each one of you. ,Token Engineering Commons,Mar-03-2021,🙌🏿praise,,,,,,,
@markop#2007,Juankbell,for being amazing and caring stewards for this community. I thank life for the opportunity of meeting paths with each one of you. ,Token Engineering Commons,Mar-03-2021,🙌🏿praise,,,,,,,
@iviangita#3204,Juankbell,for being amazing and caring stewards for this community. I thank life for the opportunity of meeting paths with each one of you. ,Token Engineering Commons,Mar-03-2021,🙌🏿praise,,,,,,,
@AmwFund#0979,Juankbell,for being amazing and caring stewards for this community. I thank life for the opportunity of meeting paths with each one of you. ,Token Engineering Commons,Mar-03-2021,🙌🏿praise,,,,,,,
@santigs#9769,Juankbell,for being amazing and caring stewards for this community. I thank life for the opportunity of meeting paths with each one of you. ,Token Engineering Commons,Mar-03-2021,🙌🏿praise,,,,,,,
@Tam2140#9361,Juankbell,for being amazing and caring stewards for this community. I thank life for the opportunity of meeting paths with each one of you. ,Token Engineering Commons,Mar-03-2021,🙌🏿praise,,,,,,,
@eduardovegap#0422,Juankbell,for being amazing and caring stewards for this community. I thank life for the opportunity of meeting paths with each one of you. ,Token Engineering Commons,Mar-03-2021,🙌🏿praise,,,,,,,
@freedumbs00#3857,Juankbell,for being amazing and caring stewards for this community. I thank life for the opportunity of meeting paths with each one of you. ,Token Engineering Commons,Mar-03-2021,🙌🏿praise,,,,,,,
@sem  🐝#0161,Juankbell,for being amazing and caring stewards for this community. I thank life for the opportunity of meeting paths with each one of you. ,Token Engineering Commons,Mar-03-2021,🙌🏿praise,,,,,,,
@solsista#5370,Juankbell,for being amazing and caring stewards for this community. I thank life for the opportunity of meeting paths with each one of you. ,Token Engineering Commons,Mar-03-2021,🙌🏿praise,,,,,,,
@griff#3281,Juankbell,"for coordinating a very nice meeting explaining 5-6 years of work in 2 hours, and cross pollinating with the spirals/integral study group 🙌 ",Token Engineering Commons,Mar-04-2021,🙌🏿praise,,,,,,,
@durgadas#9280,Juankbell,"for coordinating a very nice meeting explaining 5-6 years of work in 2 hours, and cross pollinating with the spirals/integral study group 🙌 ",Token Engineering Commons,Mar-04-2021,🙌🏿praise,,,,,,,
@griff#3281,rdfbbx,for testing Praise-bot update [TEC] ,Token Engineering Commons,Mar-04-2021,🙌🏿praise,,,,,,,
@rdfbbx#6437,rdfbbx,for testing Praise-bot update [TEC] ,Token Engineering Commons,Mar-04-2021,🙌🏿praise,,,,,,,
@griff#3281,rdfbbx,for testing Praise-bot update [The Commons Stack] ,Commons Stack,Mar-04-2021,praise,,,,,,,
@rdfbbx#6437,rdfbbx,for testing Praise-bot update [The Commons Stack] ,Commons Stack,Mar-04-2021,praise,,,,,,,
@Letty#5399,solsista,"for joining the <#810180622634844202> wg call, adding questions and helping to structure the TE community survey and deciding on first outreach radius, naming further adjacent communities, thinking about intrinsic and goodies incentives for high survey completion rate. ❤️ ",Token Engineering Commons,Mar-04-2021,🙌🏿praise,,,,,,,
@Michal#7390,solsista,"for joining the <#810180622634844202> wg call, adding questions and helping to structure the TE community survey and deciding on first outreach radius, naming further adjacent communities, thinking about intrinsic and goodies incentives for high survey completion rate. ❤️ ",Token Engineering Commons,Mar-04-2021,🙌🏿praise,,,,,,,
@natesuits#4789,solsista,"for joining the <#810180622634844202> wg call, adding questions and helping to structure the TE community survey and deciding on first outreach radius, naming further adjacent communities, thinking about intrinsic and goodies incentives for high survey completion rate. ❤️ ",Token Engineering Commons,Mar-04-2021,🙌🏿praise,,,,,,,
@Tam2140#9361,solsista,"for joining the <#810180622634844202> wg call, adding questions and helping to structure the TE community survey and deciding on first outreach radius, naming further adjacent communities, thinking about intrinsic and goodies incentives for high survey completion rate. ❤️ ",Token Engineering Commons,Mar-04-2021,🙌🏿praise,,,,,,,
@liviade#1387,solsista,"for joining the <#810180622634844202> wg call, adding questions and helping to structure the TE community survey and deciding on first outreach radius, naming further adjacent communities, thinking about intrinsic and goodies incentives for high survey completion rate. ❤️ ",Token Engineering Commons,Mar-04-2021,🙌🏿praise,,,,,,,
@Zeptimus#3359,solsista,"for joining the <#810180622634844202> wg call, adding questions and helping to structure the TE community survey and deciding on first outreach radius, naming further adjacent communities, thinking about intrinsic and goodies incentives for high survey completion rate. ❤️ ",Token Engineering Commons,Mar-04-2021,🙌🏿praise,,,,,,,
@freedumbs00#3857,solsista,"for joining the <#810180622634844202> wg call, adding questions and helping to structure the TE community survey and deciding on first outreach radius, naming further adjacent communities, thinking about intrinsic and goodies incentives for high survey completion rate. ❤️ ",Token Engineering Commons,Mar-04-2021,🙌🏿praise,,,,,,,
@Dan Knobelsdorf.eth#0326,solsista,"for joining the <#810180622634844202> wg call, adding questions and helping to structure the TE community survey and deciding on first outreach radius, naming further adjacent communities, thinking about intrinsic and goodies incentives for high survey completion rate. ❤️ ",Token Engineering Commons,Mar-04-2021,🙌🏿praise,,,,,,,
@rdfbbx#6437,solsista,for releasing me off the guilt for not praising enough -- that ends with Praise-bot 🤖 ❤️ ,Token Engineering Commons,Mar-04-2021,🙌🏿praise,,,,,,,
@Tam2140#9361,markop,to for leading another great Sprint retro. ,Token Engineering Commons,Mar-04-2021,🌾stewards,,,,,,,
